"","Kanal 1 Durchschn. (V)"
"506","0,684497"
"507","0,685731"
"508","0,687815"
"509","0,689281"
"510","0,690130"
"511","0,692059"
"512","0,693679"
"513","0,694759"
"514","0,695917"
"515","0,697846"
"516","0,699157"
"517","0,700238"
"518","0,701858"
"519","0,704019"
"520","0,705407"
"521","0,706642"
"522","0,708494"
"523","0,710269"
"524","0,711117"
"525","0,712429"
"526","0,714435"
"527","0,715824"
"528","0,716673"
"529","0,718679"
"530","0,720300"
"531","0,721114"
"532","0,722537"
"533","0,724466"
"534","0,725701"
"535","0,726627"
"536","0,728401"
"537","0,730022"
"538","0,731102"
"539","0,732105"
"540","0,734420"
"541","0,735577"
"542","0,736503"
"543","0,738432"
"544","0,739898"
"545","0,741133"
"546","0,742136"
"547","0,744374"
"548","0,745686"
"549","0,746612"
"550","0,748232"
"551","0,750007"
"552","0,751087"
"553","0,752013"
"554","0,753942"
"555","0,755639"
"556","0,756488"
"557","0,758031"
"558","0,759806"
"559","0,761118"
"560","0,761967"
"561","0,763973"
"562","0,765516"
"563","0,766288"
"564","0,767677"
"565","0,769837"
"566","0,771072"
"567","0,771920"
"568","0,773772"
"569","0,775393"
"570","0,776087"
"571","0,777630"
"572","0,779559"
"573","0,780717"
"574","0,781797"
"575","0,783417"
"576","0,785192"
"577","0,785964"
"578","0,787353"
"579","0,789127"
"580","0,790439"
"581","0,791365"
"582","0,793217"
"583","0,795146"
"584","0,796149"
"585","0,797461"
"586","0,799081"
"587","0,800624"
"588","0,801473"
"589","0,803016"
"590","0,804868"
"591","0,805871"
"592","0,806952"
"593","0,808881"
"594","0,810269"
"595","0,811427"
"596","0,812430"
"597","0,814436"
"598","0,815594"
"599","0,816520"
"600","0,818449"
"601","0,820069"
"602","0,820841"
"603","0,822307"
"604","0,824313"
"605","0,825239"
"606","0,826319"
"607","0,828480"
"608","0,829791"
"609","0,830409"
"610","0,831952"
"611","0,833804"
"612","0,834961"
"613","0,835887"
"614","0,837584"
"615","0,839359"
"616","0,840285"
"617","0,841674"
"618","0,843294"
"619","0,844761"
"620","0,845609"
"621","0,847307"
"622","0,849159"
"623","0,850162"
"624","0,851242"
"625","0,853094"
"626","0,854406"
"627","0,855374"
"628","0,856875"
"629","0,858727"
"630","0,859730"
"631","0,860579"
