"","Kanal 1 Durchschn. (V)"
"594","0,001029"
"595","0,001235"
"596","0,001389"
"597","0,001286"
"598","0,001235"
"599","0,001157"
"600","0,001029"
"601","0,001080"
"602","0,001286"
"603","0,001029"
"604","0,001543"
"605","0,001235"
"606","0,001286"
"607","0,001157"
"608","0,001415"
"609","0,001029"
"610","0,001235"
"611","0,001286"
"612","0,001157"
"613","0,001157"
"614","0,001543"
"615","0,001157"
"616","0,001350"
"617","0,001286"
"618","0,000965"
"619","0,000965"
"620","0,001157"
"621","0,001157"
"622","0,001157"
"623","0,001286"
"624","0,001157"
"625","0,001157"
"626","0,001415"
"627","0,001157"
"628","0,001350"
"629","0,001543"
"630","0,001080"
"631","0,001350"
"632","0,001286"
"633","0,001350"
"634","0,001350"
"635","0,001415"
"636","0,001235"
"637","0,001286"
"638","0,001415"
"639","0,001157"
"640","0,001286"
"641","0,001415"
"642","0,001350"
"643","0,001286"
"644","0,001286"
"645","0,001157"
"646","0,001543"
"647","0,001736"
"648","0,001080"
"649","0,001350"
"650","0,001389"
"651","0,000965"
"652","0,001543"
"653","0,001415"
"654","0,001235"
"655","0,001543"
"656","0,001157"
"657","0,000926"
"658","0,001286"
"659","0,001286"
"660","0,001350"
"661","0,001286"
"662","0,001286"
"663","0,001080"
"664","0,001800"
"665","0,001543"
"666","0,001350"
"667","0,001350"
"668","0,001235"
"669","0,001235"
"670","0,001029"
"671","0,001389"
"672","0,001080"
"673","0,001029"
"674","0,001157"
"675","0,001157"
"676","0,001286"
"677","0,001543"
"678","0,001235"
"679","0,001286"
"680","0,001350"
"681","0,001389"
"682","0,001286"
"683","0,001157"
"684","0,001389"
"685","0,001286"
"686","0,001389"
"687","0,001389"
"688","0,001286"
"689","0,001235"
"690","0,001286"
"691","0,001286"
"692","0,001080"
"693","0,001286"
"694","0,001029"
"695","0,001350"
"696","0,001286"
"697","0,001286"
"698","0,001029"
"699","0,001415"
"700","0,001029"
"701","0,001350"
"702","0,001543"
"703","0,001286"
"704","0,001157"
"705","0,001389"
"706","0,000772"
"707","0,001286"
"708","0,001698"
"709","0,001286"
"710","0,001157"
"711","0,001235"
"712","0,001157"
"713","0,001157"
"714","0,001698"
"715","0,000965"
