"","Kanal 1 Durchschn. (V)","Kanal 4 Durchschn. (V)"
"383","0,004845","0,001221"
"384","0,006151","0,001221"
"385","0,004769","0,001657"
"386","0,004088","0,001134"
"387","0,003937","0,001343"
"388","0,005223","0,001744"
"389","0,006224","0,001744"
"390","0,003634","0,001119"
"391","0,001514","0,000916"
"392","0,006245","0,001603"
"393","0,003482","0,001323"
"394","0,004466","0,001323"
"395","0,005888","0,001570"
"396","0,004542","0,001395"
"397","0,004879","0,001343"
"398","0,003785","0,001450"
"399","0,005829","0,001570"
"400","0,005962","0,001134"
"401","0,003407","0,001374"
"402","0,005148","0,001526"
"403","0,004088","0,001308"
"404","0,006056","0,001425"
"405","0,004466","0,001221"
"406","0,004921","0,001679"
"407","0,004921","0,001323"
"408","0,003785","0,001221"
"409","0,005375","0,001657"
"410","0,004769","0,001425"
"411","0,003482","0,001323"
"412","0,006435","0,001374"
"413","0,004618","0,001744"
"414","0,004996","0,001526"
"415","0,004037","0,001119"
"416","0,004996","0,001657"
"417","0,005720","0,001603"
"418","0,003861","0,001425"
"419","0,004845","0,001483"
"420","0,004542","0,001657"
"421","0,004466","0,001308"
"422","0,004012","0,001221"
"423","0,005526","0,001764"
"424","0,004921","0,001289"
"425","0,005205","0,001395"
"426","0,005072","0,001374"
"427","0,004374","0,001657"
"428","0,005299","0,001526"
"429","0,004466","0,001343"
"430","0,005467","0,001570"
"431","0,004845","0,001145"
"432","0,004542","0,001221"
"433","0,005047","0,001297"
"434","0,004391","0,001526"
"435","0,005299","0,001119"
"436","0,004239","0,001323"
"437","0,005131","0,001308"
"438","0,004921","0,001374"
"439","0,004164","0,001374"
"440","0,006477","0,001289"
"441","0,004466","0,001908"
"442","0,004769","0,001395"
"443","0,004012","0,001425"
"444","0,004845","0,001297"
"445","0,005299","0,001297"
"446","0,005636","0,001221"
"447","0,003558","0,001308"
"448","0,004769","0,001603"
"449","0,004239","0,001119"
"450","0,005948","0,001587"
"451","0,005215","0,001395"
"452","0,005375","0,001483"
"453","0,004290","0,001526"
"454","0,004710","0,001018"
"455","0,004626","0,001395"
"456","0,004996","0,001465"
"457","0,004466","0,001221"
"458","0,005804","0,001221"
"459","0,004466","0,001425"
"460","0,004637","0,001119"
"461","0,004794","0,001221"
"462","0,004921","0,001628"
"463","0,004794","0,001221"
"464","0,004845","0,001526"
"465","0,004794","0,001047"
"466","0,005148","0,001570"
"467","0,004206","0,001526"
"468","0,005583","0,001221"
"469","0,004769","0,001221"
"470","0,005223","0,001832"
"471","0,004239","0,001221"
"472","0,004921","0,001308"
"473","0,005488","0,001308"
"474","0,005072","0,001119"
"475","0,003217","0,001465"
"476","0,002944","0,001570"
"477","0,002650","0,001221"
"478","0,003690","0,001221"
"479","0,003861","0,001308"
"480","0,004845","0,001483"
"481","0,005072","0,001221"
"482","0,003937","0,001221"
"483","0,005215","0,001570"
"484","0,004542","0,001483"
"485","0,005131","0,001465"
"486","0,004466","0,001308"
"487","0,008327","0,001832"
"488","0,004458","0,001221"
"489","0,004447","0,001221"
"490","0,003123","0,001657"
"491","0,003785","0,001308"
"492","0,003785","0,001465"
"493","0,002944","0,001047"
"494","0,003953","0,001526"
"495","0,003280","0,001323"
"496","0,003569","0,001465"
"497","0,003280","0,001483"
"498","0,003449","0,001919"
"499","0,003407","0,001145"
"500","0,002801","0,001343"
"501","0,003255","0,001425"
"502","0,002692","0,001221"
"503","0,003136","0,001221"
"504","0,002744","0,001221"
"505","0,002692","0,001450"
"506","0,002650","0,001483"
"507","0,002271","0,001395"
"508","0,002103","0,001744"
"509","0,002271","0,001483"
"510","0,001798","0,001465"
"511","0,002271","0,001221"
"512","0,002271","0,001744"
"513","0,001987","0,001221"
"514","0,002019","0,001308"
"515","0,002460","0,001744"
"516","0,002187","0,001395"
"517","0,001893","0,001984"
"518","0,002271","0,001425"
"519","0,002460","0,001374"
"520","0,002163","0,001221"
"521","0,001730","0,001134"
"522","0,002877","0,001526"
"523","0,002271","0,001679"
"524","0,004122","0,001483"
"525","0,004391","0,001425"
"526","0,005072","0,001450"
"527","0,005223","0,001526"
"528","0,004012","0,001221"
"529","0,004845","0,001395"
"530","0,004239","0,001357"
"531","0,004164","0,001221"
"532","0,005753","0,001744"
"533","0,004921","0,001526"
"534","0,005072","0,001395"
"535","0,004879","0,001425"
"536","0,004315","0,001395"
"537","0,003937","0,001297"
"538","0,004769","0,001587"
"539","0,005072","0,001134"
"540","0,004710","0,001744"
"541","0,004542","0,001221"
"542","0,004458","0,001343"
"543","0,004769","0,001308"
"544","0,004845","0,001395"
"545","0,005804","0,001221"
"546","0,004694","0,001221"
"547","0,005299","0,001744"
"548","0,005148","0,001450"
"549","0,003709","0,001323"
"550","0,005972","0,001450"
"551","0,005602","0,001570"
"552","0,004769","0,001221"
"553","0,004290","0,001374"
"554","0,005223","0,001297"
"555","0,005375","0,001221"
"556","0,003634","0,001587"
"557","0,004391","0,001323"
"558","0,004921","0,001570"
"559","0,004794","0,001085"
"560","0,004206","0,001221"
"561","0,005888","0,001483"
"562","0,005223","0,001395"
"563","0,004239","0,001465"
"564","0,004239","0,001221"
"565","0,004694","0,001657"
"566","0,005888","0,001425"
"567","0,003558","0,001343"
"568","0,003028","0,001221"
"569","0,001730","0,001221"
"570","0,001766","0,001587"
"571","0,001893","0,001221"
"572","0,002379","0,001730"
"573","0,001609","0,001134"
"574","0,002271","0,001343"
"575","0,001838","0,001526"
"576","0,002163","0,001221"
"577","0,001514","0,001465"
"578","0,001514","0,001119"
"579","0,001838","0,001395"
"580","0,001838","0,001657"
"581","0,001893","0,001587"
"582","0,002082","0,001308"
"583","0,002271","0,001483"
"584","0,001850","0,001221"
"585","0,001987","0,001323"
"586","0,002650","0,001657"
"587","0,002103","0,001570"
"588","0,002082","0,001709"
"589","0,002103","0,001483"
"590","0,002650","0,001492"
"591","0,001514","0,000611"
"592","0,001893","0,001221"
"593","0,002366","0,001657"
"594","0,002366","0,001374"
"595","0,001893","0,001709"
"596","0,002397","0,001297"
"597","0,002439","0,001450"
"598","0,002271","0,001450"
"599","0,002271","0,001425"
"600","0,002103","0,001679"
"601","0,002460","0,001483"
"602","0,001893","0,001395"
"603","0,001935","0,001483"
"604","0,002439","0,001374"
"605","0,002176","0,001526"
"606","0,001850","0,001465"
"607","0,002271","0,001297"
"608","0,002355","0,001483"
"609","0,002082","0,001221"
"610","0,002055","0,001134"
"611","0,002460","0,001526"
"612","0,002176","0,001308"
"613","0,001850","0,001221"
"614","0,002271","0,001492"
"615","0,002608","0,001696"
"616","0,002044","0,001483"
"617","0,002055","0,001343"
"618","0,002650","0,001603"
"619","0,002176","0,001603"
"620","0,002271","0,001587"
"621","0,001935","0,001483"
"622","0,002271","0,001919"
"623","0,002176","0,001395"
"624","0,001947","0,001221"
"625","0,002271","0,001603"
"626","0,002812","0,001570"
"627","0,001947","0,001119"
"628","0,001798","0,001221"
"629","0,002744","0,001603"
"630","0,002366","0,001297"
"631","0,001893","0,001308"
"632","0,002103","0,001395"
"633","0,002555","0,001730"
"634","0,002163","0,001465"
"635","0,001893","0,001323"
"636","0,002044","0,001657"
"637","0,002460","0,001425"
"638","0,002397","0,001465"
"639","0,002019","0,001308"
"640","0,002650","0,001570"
"641","0,002176","0,001221"
"642","0,002271","0,001221"
"643","0,002555","0,001483"
"644","0,002355","0,001297"
"645","0,002271","0,001425"
"646","0,002019","0,001221"
"647","0,002355","0,001297"
"648","0,002366","0,001308"
"649","0,001935","0,001587"
"650","0,002103","0,001483"
"651","0,002355","0,001657"
"652","0,002082","0,001221"
"653","0,001987","0,001221"
"654","0,002555","0,001744"
"655","0,002271","0,001134"
"656","0,002055","0,001587"
"657","0,002366","0,001308"
"658","0,002523","0,001395"
"659","0,002019","0,001119"
"660","0,002163","0,001221"
"661","0,002366","0,001374"
"662","0,002460","0,001297"
"663","0,001893","0,001119"
"664","0,002019","0,001221"
"665","0,002555","0,001570"
"666","0,002271","0,001323"
"667","0,001798","0,001119"
"668","0,002460","0,001483"
"669","0,002555","0,001657"
"670","0,001798","0,001465"
"671","0,002082","0,001483"
"672","0,002355","0,001570"
"673","0,002366","0,001395"
"674","0,002055","0,001465"
"675","0,002271","0,001570"
"676","0,002523","0,001450"
"677","0,002082","0,001425"
"678","0,001893","0,001221"
"679","0,002271","0,001679"
"680","0,002187","0,001570"
"681","0,002055","0,001221"
"682","0,002176","0,001145"
"683","0,002439","0,001657"
"684","0,001850","0,001323"
"685","0,001730","0,001221"
"686","0,001935","0,001526"
"687","0,002650","0,001526"
"688","0,002055","0,001323"
"689","0,001987","0,001374"
"690","0,002555","0,001744"
"691","0,002271","0,001308"
"692","0,002271","0,001145"
"693","0,002366","0,001221"
"694","0,002366","0,001526"
"695","0,002176","0,001221"
"696","0,002082","0,001657"
"697","0,002439","0,001465"
"698","0,002187","0,001526"
"699","0,001935","0,001374"
"700","0,002271","0,001570"
"701","0,002439","0,001755"
